,zpid,latitude,longitude,usecode,bathrooms,bedrooms,zipcode,price,lotSizeSqFt
10743,2096415477,40.679479,-73.981243,Unknown,0.0,0,11217,1123686,0
10744,2096477861,40.680123,-73.981461,Apartment,1.5,2,11217,0,0
10745,2096477953,40.679351,-73.98133,Apartment,1.0,2,11217,0,0
10746,2096477970,40.679289,-73.981372,Apartment,1.0,2,11217,0,0
10747,30572437,40.677222,-73.983364,Condominium,0.0,0,11215,838011,2240
10748,30572438,40.677222,-73.983364,Condominium,0.0,0,11215,787366,2240
10749,94715801,40.664851,-73.993214,Condominium,0.0,0,11215,638257,0
10750,79720827,40.672152,-73.987621,Cooperative,1.0,2,11215,943388,0
10751,82782904,40.673291,-73.986042,MultiFamily2To4,1.0,1,11215,717839,0
10752,82784698,40.672152,-73.987621,Cooperative,0.0,0,11215,543299,0
10753,83046956,40.673291,-73.986042,Condominium,0.0,0,11215,935747,0
10754,83047767,40.673291,-73.986042,MultiFamily2To4,1.0,1,11215,717893,0
10755,94640583,40.668627,-73.990358,Condominium,2.0,2,11215,1245645,0
10756,94640588,40.668627,-73.990358,Condominium,0.0,0,11215,616835,0
10757,94640591,40.668627,-73.990358,Condominium,1.0,0,11215,673135,0
10758,94640594,40.668627,-73.990358,Condominium,2.0,2,11215,1239204,0
10759,94716290,40.664851,-73.993214,Condominium,0.0,0,11215,746267,0
10760,94717670,40.664661,-73.993156,Condominium,1.0,2,11215,0,0
10761,94717647,40.668627,-73.990358,Condominium,0.0,0,11215,837390,0
10762,94716095,40.668521,-73.990692,Condominium,1.0,1,11215,634035,0
10763,94715747,40.668627,-73.990358,Condominium,0.0,0,11215,722420,0
10764,94640595,40.668627,-73.990358,Condominium,0.0,0,11215,803775,0
10765,94640593,40.668627,-73.990358,Condominium,2.0,2,11215,1248980,0
10766,94640592,40.668627,-73.990358,Condominium,2.0,2,11215,1245271,0
10767,94640590,40.668627,-73.990358,Condominium,0.0,0,11215,635740,0
10768,94640589,40.668627,-73.990358,Condominium,0.0,0,11215,650049,0
10769,94640587,40.668627,-73.990358,Condominium,0.0,0,11215,616835,0
10770,94640586,40.668627,-73.990358,Condominium,0.0,0,11215,821432,0
10771,94640584,40.668627,-73.990358,Condominium,0.0,0,11215,1281381,0
10772,2097540281,40.66762,-73.980757,Townhouse,3.0,4,11215,2016616,1699
10773,2106301777,40.665727,-73.980682,MultiFamily2To4,0.0,0,11215,850896,0
10774,2096323585,40.6696,-73.984194,Unknown,0.0,0,11215,1079390,0
10775,2096393210,40.667439,-73.988467,Unknown,0.0,0,11215,1104655,0
10776,2096412335,40.666001,-73.988233,Unknown,0.0,0,11215,1117552,0
10777,2096432071,40.669059,-73.98746,Unknown,0.0,0,11215,1105111,0
10778,2096433109,40.666431,-73.990593,Unknown,0.0,0,11215,1119838,0
10779,2097845150,40.66762,-73.980757,Unknown,0.0,0,11215,1048530,0
10780,2097838573,40.66762,-73.980757,SingleFamily,2.0,3,11215,2311686,0
10781,2098005275,40.66762,-73.980757,Apartment,2.0,4,11215,0,0
10782,2098003544,40.66762,-73.980757,SingleFamily,2.0,4,11215,2438813,0
10783,2098003514,40.66762,-73.980757,Townhouse,2.0,3,11215,1625128,0
10784,2098003492,40.66762,-73.980757,SingleFamily,2.0,3,11215,2352838,0
10785,2097845192,40.66762,-73.980757,SingleFamily,2.0,3,11215,2453816,0
10786,2097838558,40.66762,-73.980757,SingleFamily,1.0,3,11215,1472383,0
10787,2097713071,40.66762,-73.980757,SingleFamily,1.0,3,11215,2554621,1687
10788,2097712998,40.66762,-73.980757,SingleFamily,1.0,3,11215,2625073,2514
10789,2097712957,40.66762,-73.980757,SingleFamily,1.0,2,11215,1240783,869
10790,2097683219,40.66762,-73.980757,Townhouse,2.0,4,11215,2250042,1687
10791,2097683204,40.66762,-73.980757,Apartment,2.0,6,11215,0,2514
10792,2097845168,40.66762,-73.980757,SingleFamily,2.0,3,11215,0,0
10793,2097540286,40.66762,-73.980757,MultiFamily2To4,3.0,4,11215,2042890,2503
10794,2097603451,40.66762,-73.980757,SingleFamily,3.0,4,11215,2426348,0
10795,2097603491,40.66762,-73.980757,Apartment,3.0,7,11215,0,2514
10796,2097603530,40.66762,-73.980757,Apartment,2.0,8,11215,0,1687
10797,30572437,40.677222,-73.983364,Condominium,0.0,0,11215,838011,2240
10798,30572438,40.677222,-73.983364,Condominium,0.0,0,11215,787366,2240
10799,82818059,40.673291,-73.986042,Condominium,1.0,1,11215,719197,0
10800,94715801,40.664851,-73.993214,Condominium,0.0,0,11215,638257,0
10801,79720827,40.672152,-73.987621,Cooperative,1.0,2,11215,943388,0
10802,82782904,40.673291,-73.986042,MultiFamily2To4,1.0,1,11215,717839,0
10803,82784698,40.672152,-73.987621,Cooperative,0.0,0,11215,543299,0
10804,83046956,40.673291,-73.986042,Condominium,0.0,0,11215,935747,0
10805,83047767,40.673291,-73.986042,MultiFamily2To4,1.0,1,11215,717893,0
